name,reference product,CPC,interventionpaper
market for zinc monosulfate,zinc monosulfate,34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"market for wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry","wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry",54730: Painting services,construction
"treatment of residue from mechanical treatment, IT accessory, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
market for supplementary cementitious materials,supplementary cementitious materials,"15200: Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",minerals
ethylene glycol diethyl ether production,ethylene glycol diethyl ether,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"hardwood forestry, mixed species, sustainable forest management","pulpwood, hardwood, measured as solid wood under bark",03120: Logs of non-coniferous wood,forest biomass
pulverised lignite production,pulverised lignite,11040: Brown coal briquettes and similar solid fuels manufactured from brown coal,fossil fuel extraction
"treatment of sewage sludge, 97% water, WWT, WW from concrete production, landfarming","organic potassium fertiliser, as K2O",34659: Fertilizers n.e.c.,chemicals and plastics
"market for electric parts, mini CHP plant","electric parts, mini CHP plant","46131: Parts of electric motors, generators and the like",machinery and equipment
calcium chloride to generic market for de-icer,de-icer,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"wind turbine network connection construction, small-scale, 6kW, onshore","wind turbine network connection, small-scale, 6kW, onshore","46211: Electrical apparatus for switching or protecting electrical circuits, or for making connexions to or in electr[…]",machinery and equipment
market for plaster mixing,plaster mixing,"88535: Cement, lime and plaster manufacturing services",other services
"transport, passenger car, small size, natural gas, EURO 4","transport, passenger car, small size, natural gas, EURO 4","64119: Other land transportation services of passengers, n.e.c.",road transport
"treatment of waste glass, municipal incineration","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
"maintenance, bulk carrier, for dry goods","maintenance, bulk carrier, for dry goods",87149: Maintenance and repair services of other transport equipment,other services
"BTX production, from reformate, average",o-xylene,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"hydrocarbons purification, molecular sieve separation of naphtha",hexane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"heat and power co-generation unit construction, 6400kW thermal, common components for heat+electricity","heat and power co-generation unit, 6400kW thermal, common components for heat+electricity",53262: Power plants,construction
"concrete production, 35MPa, for building construction, with cement, CP-II-F","concrete, 35MPa",37510: Non-refractory mortars and concretes,other products
"diesel, burned in agricultural machinery","diesel, burned in agricultural machinery",86119: Other support services to crop production,agricultural biomass
"mowing, by motor mower","mowing, by motor mower",86119: Other support services to crop production,agricultural biomass
"tillage, harrowing, by moldboard plow","tillage, harrowing, by moldboard plow",86119: Other support services to crop production,agricultural biomass
"market for clover seed, Swiss integrated production, for sowing","clover seed, Swiss integrated production, for sowing","01919: Forage products, n.e.c.",agricultural biomass
ammonium nitrite production,ammonium nitrite,34653: Ammonium chloride; nitrites,chemicals and plastics
6-benzyladenine production,6-benzyladenine,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
market for ethoxylated alcohol (AE>20),ethoxylated alcohol (AE>20),"35310: Organic surface active agents, except soap",chemicals and plastics
market for graphite,graphite,16390: Other minerals n.e.c.,minerals
"market for heat and power co-generation unit, organic Rankine cycle, 3MW electrical","heat and power co-generation unit, organic Rankine cycle, 3MW electrical",53262: Power plants,construction
market for dimethylaminopropylamine,dimethylaminopropylamine,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
"market for integrated circuit, memory type","integrated circuit, memory type",47160: Electronic integrated circuits,machinery and equipment
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation",35491: Biodiesel,biofuel production
"solar collector system installation, Cu flat plate collector, one-family house, combined system","solar collector system, Cu flat plate collector, one-family house, combined system",54631: Heating equipment installation services,construction
"welding, arc, aluminium","welding, arc, aluminium",88731: Metal treatment and coating services,other services
"purse seiner construction, wood","purse seiner, wood",49315: Fishing vessels; factory ships and other vessels for processing or preserving fishery products,machinery and equipment
"battery module packaging production, Li-ion","battery module packaging, Li-ion",88752: Battery and accumulator manufacturing services,other services
"palm date production, organic","palm date, organic",01314: Dates,agricultural biomass
strontium carbonate production,sodium sulfide,34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"oat seed production, Swiss integrated production, at farm","oat seed, Swiss integrated production, at farm","01171: Oats, seed",agricultural biomass
"ethoxylated alcohol (AE3) production, petrochemical",ethoxylated alcohol (AE3),"35310: Organic surface active agents, except soap",chemicals and plastics
"market for disk drive, CD/DVD, ROM, for laptop computer","disk drive, CD/DVD, ROM, for laptop computer",45272: Removable media storage units,machinery and equipment
"market for uranium, enriched 4.2%, in fuel element for light water reactor","uranium, enriched 4.2%, in fuel element for light water reactor","33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]",nuclear fuel products
"market for sawnwood, paraná pine, dried (u=10%)","sawnwood, paraná pine, dried (u=10%)","31101: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",forest biomass
"market for gas turbine, 10MW electrical","gas turbine, 10MW electrical",43143: Gas turbines other than turbo-jets and turbo-propellers,machinery and equipment
"allyl chloride production, reaction of propylene and chlorine","hydrochloric acid, without water, in 30% solution state","34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
market for molybdenum trioxide,molybdenum trioxide,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"market for inverter, for electric passenger car","inverter, for electric passenger car",4613: Parts for the goods of classes 4611 and 4612,machinery and equipment
market for methyl t-butyl ether,methyl t-butyl ether,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"impact extrusion of steel, cold, 3 strokes","impact extrusion of steel, cold, 3 strokes","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"skimmed milk, from cow milk to generic market for protein feed","protein feed, 100% crude",23319: Preparations used in animal feeding n.e.c.,agricultural biomass
